| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |    0  |      0 |
| 1    |      0 |  0  |    0  |      0 |
| 1+   |      0 |  1  |    0  |      0 |
| 2    |      0 |  1  |    0  |      0 |
| 2+   |  13099 |  0  |    0  |      0 |
| 3    |  13099 |  0  |    0  |      0 |
| 3+   |  13099 |  1  |  130  |      0 |
| 4    |  13099 |  1  |  130  |      0 |
| 4+   |  13099 |  0  |    0  |      0 |
| 5    |  13099 |  0  |    0  |      0 |
| 5+   |   4729 |  0  |  472  |      0 |
| 6    |   4729 |  0  |  472  |      0 |
| 6+   |   4729 |  1  |  472  |      0 |
| 7    |   4729 |  1  |  472  |      0 |
| 7+   |   4729 |  0  |  472  |      0 |
| 8    |   4729 |  0  |  472  |      0 |
| 8    |   4729 |  0  |  130  |      0 |
| 8+   |   5119 |  0  |  130  |      0 |
| 9    |   5119 |  0  |  130  |      0 |
| 9+   |   5119 |  1  |  511  |      0 |
| 10   |   5119 |  1  |  511  |      0 |
| 10+  |   5119 |  0  |  511  |      0 |
| 11   |   5119 |  0  |  511  |      0 |
| 11   |   5119 |  0  |  472  |      0 |
| 11   |   5119 |  0  |  511  |      0 |
| 11+  |   5119 |  0  |  168  |      0 |
| 12   |   5119 |  0  |  168  |      0 |
| 12   |   5119 |  0  |  169  |      0 |
| 12   |   5119 |  0  |  170  |      0 |
| 12   |   5119 |  0  |  171  |      0 |
| 12   |   5119 |  0  |  172  |      0 |
| 12   |   5119 |  0  |  173  |      0 |
| 12   |   5119 |  0  |  174  |      0 |
| 12   |   5119 |  0  |  175  |      0 |
| 12+  |  21845 |  1  |  168  |      0 |
| 13   |  21845 |  1  |  168  |      0 |
| 13+  |  21845 |  1  |  169  |      0 |
| 14   |  21845 |  1  |  169  |      0 |
| 14+  |  21845 |  1  |  170  |      0 |
| 15   |  21845 |  1  |  170  |      0 |
| 15+  |  21845 |  1  |  171  |      0 |
| 16   |  21845 |  1  |  171  |      0 |
| 16+  |  21845 |  1  |  172  |      0 |
| 17   |  21845 |  1  |  172  |      0 |
| 17+  |  21845 |  1  |  173  |      0 |
| 18   |  21845 |  1  |  173  |      0 |
| 18+  |  21845 |  1  |  174  |      0 |
| 19   |  21845 |  1  |  174  |      0 |
| 19+  |  21845 |  1  |  175  |      0 |
| 20   |  21845 |  1  |  175  |      0 |
| 20+  |  21845 |  0  |  168  |      0 |
| 21   |  21845 |  0  |  168  |      0 |
| 21   |  21845 |  0  |  169  |      0 |
| 21   |  21845 |  0  |  170  |      0 |
| 21   |  21845 |  0  |  171  |      0 |
| 21   |  21845 |  0  |  172  |      0 |
| 21   |  21845 |  0  |  173  |      0 |
| 21   |  21845 |  0  |  174  |      0 |
| 21   |  21845 |  0  |  175  |      0 |
| 21+  | -21846 |  1  |  168  |      0 |
| 22   | -21846 |  1  |  168  |      0 |
| 22+  | -21846 |  0  |  168  |      0 |
| 23   | -21846 |  0  |  168  |      0 |
| 23   | -21846 |  0  |  169  |      0 |
| 23   | -21846 |  0  |  170  |      0 |
| 23   | -21846 |  0  |  171  |      0 |
| 23   | -21846 |  0  |  172  |      0 |
| 23   | -21846 |  0  |  173  |      0 |
| 23   | -21846 |  0  |  174  |      0 |
| 23   | -21846 |  0  |  175  |      0 |
| 23+  |  21845 |  1  |  168  |      0 |
| 24   |  21845 |  1  |  168  |      0 |
| 24+  | -21846 |  1  |  169  |      0 |
| 25   | -21846 |  1  |  169  |      0 |
| 25+  | -21846 |  0  |  168  |      0 |
| 26   | -21846 |  0  |  168  |      0 |
| 26   | -21846 |  0  |  169  |      0 |
| 26   | -21846 |  0  |  170  |      0 |
| 26   | -21846 |  0  |  171  |      0 |
| 26   | -21846 |  0  |  172  |      0 |
| 26   | -21846 |  0  |  173  |      0 |
| 26   | -21846 |  0  |  174  |      0 |
| 26   | -21846 |  0  |  175  |      0 |
| 26+  |  21845 |  1  |  169  |      0 |
| 27   |  21845 |  1  |  169  |      0 |
| 27+  | -21846 |  1  |  170  |      0 |
| 28   | -21846 |  1  |  170  |      0 |
| 28+  | -21846 |  0  |  168  |      0 |
| 29   | -21846 |  0  |  168  |      0 |
| 29   | -21846 |  0  |  169  |      0 |
| 29   | -21846 |  0  |  170  |      0 |
| 29   | -21846 |  0  |  171  |      0 |
| 29   | -21846 |  0  |  172  |      0 |
| 29   | -21846 |  0  |  173  |      0 |
| 29   | -21846 |  0  |  174  |      0 |
